timestamp,alert_type,detail,snapshot
2026-06-22 14:35:54,zone_breach,aaa - entry,
2026-06-22 14:35:59,zone_breach,aaa - entry,
2026-06-22 14:35:59,suspicious,Person #18,E:\surveillance_system\snapshots\suspicious_20260622_143559.jpg
2026-06-22 14:36:03,zone_breach,aaa - entry,
2026-06-22 14:36:12,suspicious,Person #18,E:\surveillance_system\snapshots\suspicious_20260622_143612.jpg
2026-06-22 14:36:30,zone_breach,aaa - entry,
2026-06-22 14:36:34,zone_breach,aaa - entry,
2026-06-24 10:45:46,suspicious,Person #2,E:\surveillance_system\snapshots\suspicious_20260624_104546.jpg
2026-06-24 10:45:57,suspicious,Person #2,E:\surveillance_system\snapshots\suspicious_20260624_104557.jpg
2026-06-24 10:46:12,suspicious,Person #2,E:\surveillance_system\snapshots\suspicious_20260624_104612.jpg
2026-06-24 10:46:24,zone_breach,restrcited - entry,
2026-06-24 10:46:29,zone_breach,restrcited - entry,
2026-06-24 10:46:37,suspicious,Person #3,E:\surveillance_system\snapshots\suspicious_20260624_104637.jpg
2026-06-24 10:46:44,zone_breach,restrcited - entry,
2026-06-24 10:46:56,suspicious,Person #3,E:\surveillance_system\snapshots\suspicious_20260624_104656.jpg
2026-06-24 10:46:58,zone_breach,restrcited - entry,
2026-06-24 10:47:23,zone_breach,restrcited - entry,
2026-06-24 10:47:24,crowd,4 persons,E:\surveillance_system\snapshots\crowd_20260624_104724.jpg
2026-06-24 10:47:47,zone_breach,restrcited - entry,
2026-06-24 10:47:52,zone_breach,restrcited - entry,
2026-06-24 10:48:02,suspicious,Person #12,E:\surveillance_system\snapshots\suspicious_20260624_104802.jpg
2026-06-24 10:48:04,zone_breach,restrcited - entry,
2026-06-24 10:48:08,crowd,4 persons,E:\surveillance_system\snapshots\crowd_20260624_104808.jpg
2026-06-24 10:48:26,suspicious,Person #12,E:\surveillance_system\snapshots\suspicious_20260624_104826.jpg
2026-06-24 10:48:33,zone_breach,restrcited - entry,
2026-06-24 10:48:38,zone_breach,restrcited - entry,
2026-06-24 10:48:45,crowd,4 persons,E:\surveillance_system\snapshots\crowd_20260624_104845.jpg
2026-06-24 10:48:56,suspicious,Person #15,E:\surveillance_system\snapshots\suspicious_20260624_104856.jpg
2026-06-24 10:49:13,suspicious,Person #12,E:\surveillance_system\snapshots\suspicious_20260624_104913.jpg
2026-06-24 10:49:15,crowd,4 persons,E:\surveillance_system\snapshots\crowd_20260624_104915.jpg
2026-06-24 10:49:23,crowd,4 persons,E:\surveillance_system\snapshots\crowd_20260624_104923.jpg
2026-06-24 10:49:32,zone_breach,restrcited - entry,
2026-06-24 10:49:35,crowd,4 persons,E:\surveillance_system\snapshots\crowd_20260624_104935.jpg
2026-06-24 10:49:36,zone_breach,restrcited - entry,
2026-06-24 10:49:42,zone_breach,restrcited - entry,
2026-06-24 10:49:44,crowd,4 persons,E:\surveillance_system\snapshots\crowd_20260624_104944.jpg
2026-06-24 10:49:46,suspicious,Person #18,E:\surveillance_system\snapshots\suspicious_20260624_104946.jpg
2026-06-24 10:49:52,crowd,4 persons,E:\surveillance_system\snapshots\crowd_20260624_104952.jpg
2026-06-24 10:49:56,zone_breach,restrcited escalated 10s,E:\surveillance_system\snapshots\zone_restrcited_20260624_104956.jpg
2026-06-24 10:49:57,suspicious,Person #18,E:\surveillance_system\snapshots\suspicious_20260624_104957.jpg
2026-06-24 10:50:01,crowd,4 persons,E:\surveillance_system\snapshots\crowd_20260624_105001.jpg
2026-06-24 10:50:07,zone_breach,restrcited - entry,
2026-06-25 16:12:49,suspicious,Person #0,E:\surveillance_system\snapshots\suspicious_20260625_161249.jpg
2026-06-25 16:13:03,suspicious,Person #1,E:\surveillance_system\snapshots\suspicious_20260625_161303.jpg
2026-06-25 16:13:06,zone_breach,restricted - entry,
2026-06-25 16:13:15,zone_breach,restricted - entry,
2026-06-25 16:13:19,zone_breach,restricted - entry,
2026-06-25 16:13:22,suspicious,Person #0,E:\surveillance_system\snapshots\suspicious_20260625_161322.jpg
2026-06-25 16:13:23,zone_breach,restricted - entry,
2026-06-25 16:13:34,suspicious,Person #1,E:\surveillance_system\snapshots\suspicious_20260625_161334.jpg
2026-06-25 16:13:38,zone_breach,restricted - entry,
2026-06-25 16:13:48,suspicious,Person #1,E:\surveillance_system\snapshots\suspicious_20260625_161348.jpg
2026-06-25 18:37:33,suspicious,Person #1,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_183733.jpg
2026-06-25 18:54:24,suspicious,Person #4,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_185424.jpg
2026-06-25 18:55:06,suspicious,Person #5,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_185506.jpg
2026-06-25 18:55:44,suspicious,Person #7,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_185544.jpg
2026-06-25 18:56:13,suspicious,Person #7,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_185613.jpg
2026-06-25 18:57:11,suspicious,Person #7,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_185711.jpg
2026-06-25 18:57:33,suspicious,Person #7,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_185733.jpg
2026-06-25 18:58:49,suspicious,Person #10,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_185849.jpg
2026-06-25 19:00:54,suspicious,Person #10,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_190054.jpg
2026-06-25 19:01:15,weapon,scissors,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\weapon_20260625_190115.jpg
2026-06-25 19:01:35,suspicious,Person #10,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_190135.jpg
2026-06-25 19:03:48,suspicious,Person #22,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_190348.jpg
2026-06-25 19:04:01,suspicious,Person #22,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_190401.jpg
2026-06-25 19:04:30,suspicious,Person #20,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_190430.jpg
2026-06-25 19:04:58,weapon,scissors,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\weapon_20260625_190458.jpg
2026-06-25 19:05:40,weapon,scissors,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\weapon_20260625_190540.jpg
2026-06-25 19:05:40,suspicious,Person #20,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_190540.jpg
2026-06-25 19:06:11,suspicious,Person #20,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_190611.jpg
2026-06-25 19:06:34,suspicious,Person #20,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_190634.jpg
2026-06-25 19:06:51,suspicious,Person #20,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_190651.jpg
2026-06-25 19:16:47,suspicious,Person #0,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_191647.jpg
2026-06-25 19:17:07,suspicious,Person #0,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_191707.jpg
2026-06-25 19:17:30,suspicious,Person #0,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_191730.jpg
2026-06-25 19:18:28,suspicious,Person #0,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_191828.jpg
2026-06-25 19:18:56,suspicious,Person #1,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_191856.jpg
2026-06-25 19:19:21,suspicious,Person #1,C:\Users\lenovo\Desktop\AI_ME_PROJECT\snapshots\suspicious_20260625_191921.jpg
